title,description,category,is_security_related,template_group
Browser closes unexpectedly,The web browser exits whenever a second tab is opened. It started while working remotely and one person is affected.,software,False,software-6
Projector shows no picture,The meeting-room projector powers on but does not display an image. It started during a meeting and the whole team is affected.,hardware,False,hardware-8
Payroll export fails,The payroll application accepts the user login but fails while exporting data. It started during a meeting and one person is affected.,software,False,software-13
Expired account,The system says my user account has expired and will not allow a sign-in. It started late yesterday and one person is affected.,access,False,access-10
Application licence error,The licensed design program rejects its valid licence after an update. It started while working remotely and one person is affected.,software,False,software-12
Monitor has no display,The monitor says no signal although the desktop is running for the reception. It started during a meeting and the whole team is affected.,hardware,False,hardware-1
Login screen freezes,The payroll software accepts my password but freezes while loading. It started after lunch and one person is affected.,software,False,software-4
Password reset,I forgot my password and need a normal account reset. It started when the office opened and one person is affected.,access,False,access-1
Projector shows no picture,The meeting-room projector powers on but does not display an image. It started during normal daily work and one person is affected.,hardware,False,hardware-8
Laptop battery is swollen,The laptop case is lifting near the battery and the device should be inspected. It started early this morning and one person is affected.,hardware,False,hardware-6
New account request,Please create a standard system account for an approved new team member. It started early this morning and one person is affected.,access,False,access-13
Cloud files synchronising slowly - Spoofed sender reported,File synchronisation stalls only while connected to the Naas site network. It started during a meeting and the whole team is affected. The message appears to impersonate a manager and requests confidential data.,network,True,network-11
Network printer unreachable - Suspicious email reported,The printer is powered on but no workstation can contact its network address. It started late yesterday and one person is affected. A suspicious email asks me to open an attachment and enter my password.,network,True,network-9
Printer fault,The printer jams on every page and shows a hardware error at Naas site. It started after lunch and the whole team is affected.,hardware,False,hardware-2
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Carlow office network. It started early this morning and one person is affected.,network,False,network-11
Laptop battery is swollen,The laptop case is lifting near the battery and the device should be inspected. It started during a meeting and one person is affected.,hardware,False,hardware-6
Shared mailbox access,Please authorise the operations team to open the shared mailbox. It started early this morning and the whole team is affected.,access,False,access-8
Video calls keep dropping,Calls disconnect for several people whenever they use the office network. It started during normal daily work and one person is affected.,network,False,network-6
Laptop battery is swollen,The laptop case is lifting near the battery and the device should be inspected. It started after lunch and the whole team is affected.,hardware,False,hardware-6
Internal website times out,The intranet cannot be reached from any computer at Carlow branch. It started after the latest restart and one person is affected.,network,False,network-7
Projector shows no picture,The meeting-room projector powers on but does not display an image. It started during a meeting and one person is affected.,hardware,False,hardware-8
Headset microphone broken,The headset plays sound but its microphone does not capture any audio. It started early this morning and one person is affected.,hardware,False,hardware-12
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Carlow branch network. It started after the latest restart and the whole team is affected.,network,False,network-11
Browser closes unexpectedly,The web browser exits whenever a second tab is opened. It started after the latest restart and the whole team is affected.,software,False,software-6
Printer fault,The printer jams on every page and shows a hardware error at Naas site. It started after lunch and one person is affected.,hardware,False,hardware-2
Network printer unreachable,The printer is powered on but no workstation can contact its network address. It started while working remotely and one person is affected.,network,False,network-9
Office connection lost,Both wired and wireless internet access stopped for the reception. It started during normal daily work and one person is affected.,network,False,network-10
Install approved software,Please install the approved reporting application for the HR team. It started after lunch and one person is affected.,software,False,software-3
Video calls keep dropping - Virus warning,Calls disconnect for several people whenever they use the office network. It started after lunch and one person is affected. The security scanner detected a possible virus during this incident.,network,True,network-6
Access denied,Please grant my account permission to the HR team shared folder. It started early this morning and the whole team is affected.,access,False,access-0
Application licence error - Unknown administrator activity,The licensed design program rejects its valid licence after an update. It started during a meeting and one person is affected. An unrecognised administrator changed settings without approval.,software,True,software-12
Slow connection,Internet performance is extremely slow for everyone at the Naas site. It started early this morning and one person is affected.,network,False,network-3
Docking station failure,USB devices disconnect whenever the laptop is placed on the dock. It started while working remotely and one person is affected.,hardware,False,hardware-3
Application licence error,The licensed design program rejects its valid licence after an update. It started during a meeting and the whole team is affected.,software,False,software-12
Shared mailbox access - Unauthorised access concern,Please authorise the reception to open the shared mailbox. It started while working remotely and one person is affected. I noticed unauthorised access to my account this morning.,access,True,access-8
VPN cannot connect,The VPN times out before reaching the company network from home. It started after the latest restart and the whole team is affected.,network,False,network-1
Update caused an error,The application will not open since yesterday's software update. It started early this morning and the whole team is affected.,software,False,software-1
New starter permissions,A new employee needs approved access to the HR portal. It started during normal daily work and one person is affected.,access,False,access-2
Remove leaver access,Please revoke the former employee's account permissions today. It started while working remotely and one person is affected.,access,False,access-3
Expired account,The system says my user account has expired and will not allow a sign-in. It started early this morning and one person is affected.,access,False,access-10
Cannot log into finance software,The application opens but says my account lacks permission. It started during a meeting and one person is affected.,access,False,access-4
Second screen flickering - Possible malware,The physical display flickers with different cables and applications. It started early this morning and the whole team is affected. A malware warning appeared after an unexpected download.,hardware,True,hardware-13
Account locked,My approved account is locked after several failed sign-in attempts. It started early this morning and one person is affected.,access,False,access-5
Remove leaver access,Please revoke the former employee's account permissions today. It started early this morning and the whole team is affected.,access,False,access-3
Access denied,Please grant my account permission to the HR team shared folder. It started during a meeting and one person is affected.,access,False,access-0
Webcam not detected,The external webcam is not recognised after reconnecting it at Naas office. It started after the latest restart and one person is affected.,hardware,False,hardware-7
Remove folder permission - Spoofed sender reported,Please remove a contractor's access to the confidential project folder. It started during a meeting and the whole team is affected. The message appears to impersonate a manager and requests confidential data.,access,True,access-11
Account locked,My approved account is locked after several failed sign-in attempts. It started late yesterday and one person is affected.,access,False,access-5
Install approved software,Please install the approved reporting application for the HR team. It started after the latest restart and one person is affected.,software,False,software-3
Wi-Fi disconnecting - Virus warning,Wireless access drops every few minutes throughout the Naas site. It started during normal daily work and one person is affected. The security scanner detected a possible virus during this incident.,network,True,network-0
Remove leaver access,Please revoke the former employee's account permissions today. It started early this morning and one person is affected.,access,False,access-3
Video calls keep dropping,Calls disconnect for several people whenever they use the office network. It started during a meeting and the whole team is affected.,network,False,network-6
Docking station failure,USB devices disconnect whenever the laptop is placed on the dock. It started during normal daily work and one person is affected.,hardware,False,hardware-3
Cannot log into finance software,The application opens but says my account lacks permission. It started after lunch and one person is affected.,access,False,access-4
Login screen freezes,The payroll software accepts my password but freezes while loading. It started after the latest restart and the whole team is affected.,software,False,software-4
Slow connection,Internet performance is extremely slow for everyone at the Naas site. It started during a meeting and the whole team is affected.,network,False,network-3
Approved plugin fails to load,The approved browser extension is installed but shows an initialization error. It started while working remotely and one person is affected.,software,False,software-10
New starter permissions,A new employee needs approved access to the HR portal. It started during a meeting and the whole team is affected.,access,False,access-2
Monitor has no display - Possible data breach,The monitor says no signal although the desktop is running for the Finance team. It started while working remotely and one person is affected. Confidential company information may have been exposed to an unknown person.,hardware,True,hardware-1
Docking station failure,USB devices disconnect whenever the laptop is placed on the dock. It started after lunch and one person is affected.,hardware,False,hardware-3
Laptop battery is swollen,The laptop case is lifting near the battery and the device should be inspected. It started after the latest restart and the whole team is affected.,hardware,False,hardware-6
Database permission denied,The database connection succeeds but my user is not authorised to view the records. It started during a meeting and the whole team is affected.,access,False,access-9
Laptop fan is noisy,The laptop fan is grinding loudly and the computer becomes unusually hot. It started early this morning and the whole team is affected.,hardware,False,hardware-10
Cannot log into finance software,The application opens but says my account lacks permission. It started early this morning and one person is affected.,access,False,access-4
Wired connection unavailable,The network cable is connected but the workstation cannot reach any internal site. It started after the latest restart and one person is affected.,network,False,network-5
Access denied,Please grant my account permission to the HR team shared folder. It started after the latest restart and the whole team is affected.,access,False,access-0
PDF files will not open,The document reader reports an error for every PDF downloaded by the HR team. It started after the latest restart and the whole team is affected.,software,False,software-5
Cloud files synchronising slowly,File synchronisation stalls only while connected to the Carlow branch network. It started early this morning and the whole team is affected.,network,False,network-11
Keyboard keys not responding,Several keyboard keys have stopped working on a desktop used by the Finance team. It started early this morning and one person is affected.,hardware,False,hardware-5
